hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Crowne Plaza Danang City Centre,Standard Room,"₫2,116,797","₫2,568,807","₫2,726,081","₫2,595,020",SOLD OUT,SOLD OUT
Furama Villas Danang-2 Bedroom Pool Villa,2 Bedroom Pool Villa,"₫10,198,514","₫10,308,590","₫11,717,500","₫11,844,107","₫12,475,731","₫11,164,669"
Avora Boutique,Superior Double Room - Non-Smoking,"₫894,207","₫748,661",SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Central Hotel & Spa,Standard Double Room,"₫854,862","₫810,876","₫785,857","₫788,937",₫0,"₫766,998"
Furama Villas Danang-3 Bedroom Pool Villa,3 Bedroom Pool Villa,"₫13,416,605","₫13,302,585","₫16,059,483","₫14,965,408","₫14,965,408","₫13,302,585"
Furama Resort Danang-Lagoon Superior,Lagoon Superior,SOLD OUT,SOLD OUT,"₫7,565,332","₫7,026,372","₫5,712,523","₫5,215,857"
A La Carte,1-Bedroom City View Twin Studio,"₫1,972,089",SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Brilliant Hotel Danang,Standard Double Room (No View),SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,NA
Furama Villas Danang-1 Bedroom Pool Villa,1 Bedroom Pool Villa,"₫8,044,983","₫8,696,851","₫16,487,136","₫11,164,669","₫7,907,090",SOLD OUT
Avora Hotel,Superior Twin Room - Non-Smoking,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,NA,NA
Fusion Resort-1bedroom villa,One Bedroom Villa with Private Pool - Spa Inclusive,NA,NA,NA,NA,NA,NA
Fusion Resort-Suite,Garden View King Suite,NA,NA,NA,NA,NA,NA
Fusion Resort-5 bedroom villa,Five Bedroom Premium Beachfront Villa with Private Pool - Spa Inclusive,NA,NA,NA,NA,NA,NA
Fusion Resort-4 bedroom villa,Four Bedroom Premium Villa with Private Pool - Spa Inclusive,NA,NA,NA,NA,NA,NA
Fusion Resort-3 bedroom villa,Three Bedroom Presidential Plunge Pool Loft - Spa Inclusive,NA,NA,NA,NA,NA,NA
G8 Luxury,Superior Double Room,NA,NA,NA,NA,NA,NA
Fusion Resort-2bedroom villa,Two Bedroom Villa - Spa Inclusive,"₫18,888,159","₫19,366,121","₫18,888,159","₫19,366,121","₫18,412,862","₫18,878,797"
Golden Lotus Grand Da Nang,Superior City View Room - Afternoon Tea Included,NA,NA,NA,NA,NA,NA
Furama Villas Danang-4-Bedroom Beachfront Villa with Private Pool,4-Bedroom Beachfront Villa with Private Pool,"₫47,058,259","₫48,345,679","₫48,345,679",NA,NA,NA
