hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
La siesta - Khu Cổ điển Phòng Deluxe (Classic Wing Deluxe Room),Khu Cổ điển Phòng Deluxe (Classic Wing Deluxe Room),"2,849,286","4,108,379","2,849,286","7,294,093","4,395,350","3,191,328"
La siesta - Phòng Hai Giường Đơn Loại Sang Phía Cổ Điển có Ban Công (Classic Wing Deluxe Twin Room with Balcony),Phòng Hai Giường Đơn Loại Sang Phía Cổ Điển có Ban Công (Classic Wing Deluxe Twin Room with Balcony),"2,742,133","2,742,133","2,742,133","2,717,811","4,582,387","2,717,811"
La siesta - Phòng Đôi Loại Sang Phía Cổ Điển có Ban Công (Classic Wing Deluxe Double Room with Balcony),Phòng Đôi Loại Sang Phía Cổ Điển có Ban Công (Classic Wing Deluxe Double Room with Balcony),"2,742,133","2,742,133","2,742,133","2,717,811","2,742,133","2,742,133"
La siesta - Khu Cổ điển Grand Suite (Classic Wing Grand Suite),Khu Cổ điển Grand Suite (Classic Wing Grand Suite),"2,849,286","4,108,379","2,849,286","3,644,929","6,031,917","4,473,889"
La siesta - La Siesta Suite,La Siesta Suite,"4,353,581","5,473,660","7,129,557","5,564,327","4,353,581","4,353,581"
La siesta - Suite La Siesta - Cánh Cổ Điển (La Siesta Suite - Classic Wing),Suite La Siesta - Cánh Cổ Điển (La Siesta Suite - Classic Wing),"5,963,713","5,963,713","7,435,060","3,644,929","6,031,917","4,473,889"
La siesta - Khu Club hướng hồ bơi Varanda Suite (Club Wing Pool View Veranda Suite),Khu Club hướng hồ bơi Varanda Suite (Club Wing Pool View Veranda Suite),"3,828,995","3,828,995","3,828,995","3,828,995","3,828,995","5,074,762"
La siesta - Khu Club Junior Suite có ban công (Club Wing Junior Suite with Balcony),Khu Club Junior Suite có ban công (Club Wing Junior Suite with Balcony),"13,581,943","4,108,379","13,339,171","6,703,581","6,499,508","5,332,286"
La siesta - Suite Lớn Phía Hội Viên Hướng Bể Bơi (Club Wing Executive Pool View Suite),Suite Lớn Phía Hội Viên Hướng Bể Bơi (Club Wing Executive Pool View Suite),"7,216,253","5,963,713","7,773,517","7,092,948","6,967,098","5,503,943"
La siesta - Khu Club cao cấp Suite có ban công (Club Wing Premium Suite with Terrace),Khu Club cao cấp Suite có ban công (Club Wing Premium Suite with Terrace),"7,800,879","4,108,379","13,339,171","78,944,729","7,434,689","5,933,118"
La siesta - Khu Cổ điển Phòng Gia đình (Classic Wing Family Room),Khu Cổ điển Phòng Gia đình (Classic Wing Family Room),"2,849,286","4,108,379","2,849,286","7,092,948","6,967,098","3,439,153"
La siesta - Suite Hai Tầng Thương Gia Phía Hội Viên có Ban Công (Club Wing Executive Duplex Suite with Balcony),Suite Hai Tầng Thương Gia Phía Hội Viên có Ban Công (Club Wing Executive Duplex Suite with Balcony),"5,963,713","5,963,713","5,963,713","5,963,713","7,857,143","5,963,713"
La siesta - Standard Suite (Pool View),Standard Suite (Pool View),SOLD OUT,SOLD OUT,NA,NA,NA,NA
La siesta - Suite,Suite,SOLD OUT,SOLD OUT,NA,NA,NA,NA
La siesta - Suite Junior Tiêu Chuẩn (Junior Suite Standard),Suite Junior Tiêu Chuẩn (Junior Suite Standard),SOLD OUT,SOLD OUT,NA,NA,NA,NA
La siesta - Duplex Room,Duplex Room,SOLD OUT,SOLD OUT,NA,NA,NA,NA
La siesta - Khu Club 2 tầng Suite có ban công (Club Wing Duplex Suite with Balcony),Khu Club 2 tầng Suite có ban công (Club Wing Duplex Suite with Balcony),"13,809,524","12,809,524","13,809,524","13,761,905","8,411,561","5,511,464"
Grand Hoi An - Phòng Deluxe Giường Đôi Có Ban Công (Deluxe Double Room with Balcony),Phòng Deluxe Giường Đôi Có Ban Công (Deluxe Double Room with Balcony),"2,208,563","2,208,563","2,208,563","2,208,563","1,815,672","1,815,672"
Grand Hoi An - Phòng Deluxe 2 Giường đơn với Ban công (Deluxe Twin Beds with Balcony),Phòng Deluxe 2 Giường đơn với Ban công (Deluxe Twin Beds with Balcony),"2,208,563","2,208,563","2,208,563","2,208,563","1,815,672","1,815,672"
Grand Hoi An - Deluxe giường King có ban công (Deluxe King with Balcony),Deluxe giường King có ban công (Deluxe King with Balcony),"1,945,394","1,945,394","1,945,394","1,945,394","1,945,394",NA
Grand Hoi An - Phòng Loại Sang Hướng Bể Bơi 2 Giường Đơn (Deluxe Twin Pool View),Phòng Loại Sang Hướng Bể Bơi 2 Giường Đơn (Deluxe Twin Pool View),"2,040,275","2,040,275","2,040,275","2,040,275","2,040,275","2,040,275"
Grand Hoi An - Phòng Deluxe King có Tầm nhìn ra Hồ bơi và Ban công (Deluxe King Pool View with Balcony),Phòng Deluxe King có Tầm nhìn ra Hồ bơi và Ban công (Deluxe King Pool View with Balcony),"2,208,563","2,208,563","2,208,563","2,208,563","2,208,563","2,208,563"
Grand Hoi An - Biệt thự Deluxe (Villa Deluxe),Biệt thự Deluxe (Villa Deluxe),"4,070,194","3,666,667","3,767,549","3,666,667","5,447,619","5,447,619"
