hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Savvy by M Village Hai Bà Trưng,"Phòng cao cấp Giường Lớn, Hướng Thành Phố (Superior King Bed, City View)",3.543.704₫,3.033.333₫,3.250.000₫,3.250.000₫,2.816.667₫,3.033.333₫
Signature by M Village HBT,Studio Room City View,"₫4,893,782","₫3,234,964","₫3,951,245","₫3,969,787","₫3,563,421","₫4,391,856"
Melia Vinpearl,Deluxe Room,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Potique Hotel,Classic Room,SOLD OUT,SOLD OUT,SOLD OUT,"₫2,415,662","₫2,376,410","₫3,120,040"
Vinpearl Resort,Deluxe Twin Room,SOLD OUT,SOLD OUT,"₫3,315,697","₫3,624,339","₫2,708,283","₫3,720,100"
Signature Lê Thánh Tôn,Deluxe City View Twin Room,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Mường Thanh,Deluxe Double City View,SOLD OUT,SOLD OUT,"₫971,754","₫966,662","₫964,413","₫962,719"
Hotel de la Coupole - MGallery,Classic Room Twin,NA,NA,NA,NA,NA,NA
President Maison,Deluxe - 1 King Bed,"₫4,367,190","₫4,406,742","₫4,757,328","₫5,114,313","₫4,425,748","₫4,745,722"
Amanaki,Signature Double Room,"₫4,006,966","₫3,390,835","₫2,559,616","₫3,316,464",SOLD OUT,NA
Pao's Sapa Leisure Hotel,Deluxe Garden View,"₫2,083,333","₫2,050,333","₫2,054,750","₫2,054,750",SOLD OUT,SOLD OUT
Silk Path Grand Sapa Resort & Spa,Classic Garden View,"₫2,065,017","₫2,443,272","₫6,619,618","₫6,634,380","₫2,475,400","₫2,139,040"
KK Sapa Hotel,Superior Twin City View,SOLD OUT,NA,NA,NA,NA,NA
Sapa Jade Hill Resort & Spa,Deluxe Valley View Room,SOLD OUT,NA,NA,NA,NA,NA
Hato,Deluxe Double No Window,NA,NA,NA,NA,NA,NA
Amanaki,Signature Twin Room,"₫3,486,198","₫3,418,017","₫2,559,616",NA,NA,NA
Silverland Ben Thanh,Spring Field - No Window,"₫4,287,349","₫4,617,283",NA,NA,NA,NA
InterContinental,2 Single Classic City View,"₫4,952,830","₫4,821,803",SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Au Lac Charner,Vannier Premier Twin Room,"₫3,229,831","₫3,250,586","₫3,230,652",SOLD OUT,SOLD OUT,SOLD OUT
Silverland Ben Thanh,Sunshine Garden - Double or Twin,"₫4,362,962","₫4,854,175","₫4,712,036","₫4,854,175","₫4,896,062",SOLD OUT
Topas Ecolodge,Deluxe Suite,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Ville De Mont Mountain Resort,On the Rock 1-Bedroom Executive Villa,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Au Lac Charner,Ruffier Deluxe Twin Room without Window,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Hato,Premium Twin Room - Non-Smoking,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Silverland May,Narra Double,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Silverland May,Narra Twin - No Window,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
M Hotel,Zen Corner,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Wink,Wink Lite Twin,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Wink,Wink Lite Queen,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
